positionId,semester
POS_1775837237772_1,2026-Spring
POS_1775837285058_2,2026-Spring
POS_1775837333856_3,2026-Fall
POS_1775895765244_1,2026-Spring
POS_1775896933901_2,2026-Spring
POS_1775902164118_1,2026-Spring
POS_2026041100000_01,2026-Spring
POS_2026041100000_02,2026-Spring
POS_2026041100000_03,2026-Spring
POS_2026041100000_04,2026-Spring
POS_2026041100000_05,2026-Spring
POS_2026041100000_06,2026-Spring
POS_2026041100000_07,2026-Spring
POS_2026041100000_08,2026-Spring
POS_2026041100000_09,2026-Spring
POS_2026041100000_10,2026-Spring
POS_2026041100000_11,2026-Spring
POS_2026041100000_12,2026-Spring
POS_2026041100000_13,2026-Spring
POS_2026041100000_14,2026-Spring
POS_2026041100000_15,2026-Spring
POS_2026041100000_16,2026-Spring
POS_2026041100000_17,2026-Spring
POS_2026041100000_18,2026-Spring
POS_2026041100000_19,2026-Spring
POS_2026041100000_20,2026-Spring
POS_2026041100000_21,2026-Spring
POS_2026041100000_22,2026-Spring
POS_2026041100000_23,2026-Spring
POS_2026041100000_24,2026-Spring
