applicationId,applicantUserId,positionId,status,submissionTime,updatedTime,statusNote,statusHistory
APP_1778763698972_1,TA_1775661872788_2,POS_2026041100000_09,SHORTLISTED,2026-05-14T21:01:38.975475600,2026-05-24 09:40:59,,2026-05-24 09:40:59 | PENDING -> SHORTLISTED
APP_IST_001,TA_20260518_IST_1,POS_IST_001,SUBMITTED,2026-05-18T10:05:00,2026-05-18 10:05:00,,
APP_IST_002,TA_20260518_IST_1,POS_IST_002,SUBMITTED,2026-05-18T10:06:00,2026-05-18 10:06:00,,
APP_EE_001,TA_20260518_EE_1,POS_EE_001,SUBMITTED,2026-05-18T10:07:00,2026-05-18 10:07:00,,
APP_IOT_001,TA_20260518_IOT_1,POS_IOT_001,OFFERED,2026-05-18T10:08:00,2026-05-23 23:31:27,,2026-05-23 23:31:19 | SUBMITTED -> SHORTLISTED ;; 2026-05-23 23:31:27 | SHORTLISTED -> OFFERED
APP_TEM_001,TA_20260518_TEM_1,POS_IST_002,SUBMITTED,2026-05-18T10:09:00,2026-05-18 10:09:00,,
APP_IOT_002,TA_20260518_IOT_2,POS_IOT_001,OFFERED,2026-05-18T10:20:00,2026-05-23 23:31:13,123,2026-05-22 17:10:15 | SUBMITTED -> SHORTLISTED ;; 2026-05-23 23:09:22 | SHORTLISTED -> INTERVIEWED | Note: 123 ;; 2026-05-23 23:31:13 | INTERVIEWED -> OFFERED
APP_IOT_003,TA_20260518_EE_2,POS_IOT_001,SUBMITTED,2026-05-18T10:21:00,2026-05-18 10:21:00,,
APP_1779441522349_8,TA_20260518_IOT_1,POS_2026041100000_17,HIRED,2026-05-22T17:18:42.349406300,2026-05-23 23:07:04,123,2026-05-23 23:05:54 | PENDING -> SHORTLISTED | Note: 213 ;; 2026-05-23 23:06:08 | SHORTLISTED -> OFFERED | Note: li hua ;; 2026-05-23 23:07:04 | OFFERED -> HIRED | Note: 123
APP_1779586777876_2,TA_1779586468948_1,POS_2026041100000_01,REJECTED,2026-05-24T09:39:37.876611100,2026-05-24 09:40:46,sorry,2026-05-24 09:40:46 | PENDING -> REJECTED | Note: sorry
APP_1779587414225_6,TA_20260518_IOT_1,POS_2026041100000_01,PENDING,2026-05-24T09:50:14.225420800,2026-05-24T09:50:14.225420800,,
APP_1779587418177_7,TA_20260518_IOT_1,POS_2026041100000_02,PENDING,2026-05-24T09:50:18.177627,2026-05-24T09:50:18.177627,,
APP_1779587423724_8,TA_20260518_IOT_1,POS_2026041100000_03,PENDING,2026-05-24T09:50:23.724794500,2026-05-24T09:50:23.724794500,,
APP_1779587427583_9,TA_20260518_IOT_1,POS_2026041100000_04,PENDING,2026-05-24T09:50:27.583758900,2026-05-24T09:50:27.583758900,,
APP_1779587445052_10,TA_20260518_IOT_1,POS_2026041100000_05,PENDING,2026-05-24T09:50:45.052179200,2026-05-24T09:50:45.052179200,,
APP_1779587459282_11,TA_20260518_IOT_1,POS_2026041100000_06,OFFERED,2026-05-24T09:50:59.282988800,2026-05-24 09:52:03,,2026-05-24 09:51:47 | PENDING -> SHORTLISTED ;; 2026-05-24 09:52:03 | SHORTLISTED -> OFFERED
