notificationId,userId,applicationId,positionId,oldStatus,newStatus,message,createdAt,read,note,jobTitle
NTF_1779441228631_3,TA_1775977712119_1,INV_1779441228616_2,POS_2026041100000_09,INVITED,INVITED,[Invitation] You have been invited to apply for: IOT Project Mentor,2026-05-22 17:13:48,false,,
NTF_1779441228665_5,TA_2026051600003_1,INV_1779441228647_4,POS_2026041100000_09,INVITED,INVITED,[Invitation] You have been invited to apply for: IOT Project Mentor,2026-05-22 17:13:48,false,,
NTF_1779441228707_7,TA_2026051600004_1,INV_1779441228691_6,POS_2026041100000_09,INVITED,INVITED,[Invitation] You have been invited to apply for: IOT Project Mentor,2026-05-22 17:13:48,false,,
NTF_1779533704498_1,TA_1775661872788_2,APP_1778763698972_1,POS_2026041100000_09,PENDING,SHORTLISTED,Your application for IOT Project Mentor has been shortlisted.,2026-05-23 18:55:04,true,first success,IOT Project Mentor
NTF_1779533725407_2,TA_1775661872788_2,APP_1778763698972_1,POS_2026041100000_09,SHORTLISTED,INTERVIEWED,You have been selected for an interview for IOT Project Mentor.,2026-05-23 18:55:25,true,congratulations,IOT Project Mentor
NTF_1779533748355_3,TA_1775661872788_2,APP_1778763698972_1,POS_2026041100000_09,INTERVIEWED,OFFERED,Congratulations! You have been offered a position: IOT Project Mentor.,2026-05-23 18:55:48,true,good,IOT Project Mentor
NTF_1779533761115_4,TA_1775661872788_2,APP_1778763698972_1,POS_2026041100000_09,OFFERED,REJECTED,Your application for IOT Project Mentor was not successful.,2026-05-23 18:56:01,true,sorry,IOT Project Mentor
NTF_1779533772293_5,TA_1775661872788_2,APP_1775896839778_1,POS_1775895765244_1,OFFERED,HIRED,You have been hired for IOT Assistant. Congratulations!,2026-05-23 18:56:12,true,nice,IOT Assistant
NTF_1779533788220_6,TA_1775661872788_2,APP_1775896957625_3,POS_1775896933901_2,PENDING,REJECTED,Your application for 12312 was not successful.,2026-05-23 18:56:28,true,sorry,12312
NTF_1779533788221_7,TA_1775661872788_2,APP_1775978212796_2,POS_1775902164118_1,PENDING,HIRED,You have been hired for TEST3. Congratulations!,2026-05-23 18:56:28,true,confirm,TEST3
NTF_1779533888842_9,TA_20260518_IOT_1,INV_1779533888840_8,POS_1775895765244_1,INVITED,INVITED,"You have been invited to apply for: ""IOT Assistant"".",2026-05-23 18:58:08,true,,IOT Assistant
